Symbol,Name,Sector,Industry,MarketCap,Country,Exchange
HBAN,Huntington Bancshares Incorporated,Financial Services,Banks - Regional,18405449728,United States,NMS
DELL,Dell Technologies Inc.,Technology,Computer Hardware,49986351104,United States,NYQ
INTU,Intuit Inc.,Technology,Software - Application,156982444032,United States,NMS
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,173580091392,United States,NMS
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,138467377152,United States,NYQ
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,132672569344,United States,NYQ
LII,Lennox International Inc.,Industrials,Building Products & Equipment,18903494656,United States,NYQ
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,137682649088,United States,NYQ
ALLE,Allegion plc,Industrials,Security & Protection Services,10668945408,Ireland,NYQ
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,66601119744,United States,NYQ
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,57742053376,United States,NMS
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,34950594560,United States,NYQ
ENPH,"Enphase Energy, Inc.",Technology,Solar,7586614272,United States,NGM
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,12205841408,United States,NYQ
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,38105407488,United States,NYQ
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,15827705856,United States,NYQ
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,47295926272,United States,NYQ
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,35488976896,United States,NYQ
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,31811979264,Canada,NMS
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,12392658944,United States,NYQ
SOLV,Solventum Corporation,Healthcare,Medical Instruments & Supplies,11452798976,United States,NYQ
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,82812354560,United States,NYQ
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,60589330432,United States,NYQ
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,23665614848,United States,NMS
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,11959200768,United States,NYQ
TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,35072524288,United States,NYQ
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,24749971456,United States,NYQ
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2675043205120,United States,NMS
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,25454303232,United States,NYQ
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,22673868800,United States,NYQ
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,18365925376,United States,NYQ
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,181143388160,United States,NYQ
TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,13889705984,United States,NMS
V,Visa Inc.,Financial Services,Credit Services,604030894080,United States,NYQ
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,22003052544,United States,NYQ
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,151037853696,United States,NYQ
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,6883759616,United States,NYQ
GPN,Global Payments Inc.,Industrials,Specialty Business Services,20869953536,United States,NYQ
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,21303963648,United States,NYQ
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,38607863808,United States,NMS
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,351787909120,United States,NYQ
INCY,Incyte Corporation,Healthcare,Biotechnology,11723683840,United States,NMS
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,42848661504,United States,NMS
AON,Aon plc,Financial Services,Insurance Brokers,81164533760,Ireland,NYQ
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,8720693248,United States,NYQ
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,92911673344,United States,NYQ
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,40627965952,United States,NYQ
LUV,Southwest Airlines Co.,Industrials,Airlines,15332140032,United States,NYQ
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,41259651072,United States,NYQ
IT,"Gartner, Inc.",Technology,Information Technology Services,29439805440,United States,NYQ
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,7696342016,United States,NYQ
ABT,Abbott Laboratories,Healthcare,Medical Devices,215818780672,United States,NYQ
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,62692421632,United States,NMS
LIN,Linde plc,Basic Materials,Specialty Chemicals,207116533760,United Kingdom,NMS
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,383969165312,United States,NYQ
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,37025472512,United States,NYQ
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,1786634698752,United States,NMS
CMCSA,Comcast Corporation,Communication Services,Telecom Services,126210449408,United States,NMS
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,39378157568,United States,NYQ
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,28700510208,United States,NYQ
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,97095131136,United States,NYQ
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,136464941056,United States,NYQ
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,38753148928,United States,NYQ
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,8105688576,United States,NMS
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,130047344640,United States,NYQ
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,34212839424,United States,NYQ
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,56193368064,United States,NYQ
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,27292135424,United States,NYQ
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,52661727232,United States,NMS
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,47886118912,United States,NYQ
ANSS,"ANSYS, Inc.",Technology,Software - Application,25142919168,United States,NMS
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,21822795776,United States,NYQ
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,38095347712,United States,NYQ
STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,16370250752,United States,NMS
ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,11430016000,United States,NMS
PNR,Pentair plc,Industrials,Specialty Industrial Machinery,12993037312,United Kingdom,NYQ
GE,GE Aerospace,Industrials,Aerospace & Defense,177916198912,United States,NYQ
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,17697603584,United States,NMS
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,24800600064,United States,NYQ
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,4914461184,United States,NMS
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,47331962880,Ireland,NYQ
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,21742669824,United States,NYQ
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,133701066752,United States,NMS
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,23580174336,United States,NYQ
EIX,Edison International,Utilities,Utilities - Regulated Electric,21080064000,United States,NYQ
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,8129868288,United States,NMS
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,28094883840,United States,NYQ
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,18357188608,United States,NMS
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,6723938816,United States,NYQ
JBL,Jabil Inc.,Technology,Electronic Components,12802450432,United States,NYQ
NOW,"ServiceNow, Inc.",Technology,Software - Application,149011349504,United States,NYQ
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,330728505344,United States,NYQ
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,60012662784,United States,NMS
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,32999137280,Bermuda,NMS
TKO,"TKO Group Holdings, Inc.",Communication Services,Entertainment,11383279616,United States,NYQ
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,17722114048,United States,NYQ
MU,"Micron Technology, Inc.",Technology,Semiconductors,72329134080,United States,NMS
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,20408463360,United States,NYQ
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,1786628538368,United States,NMS
CPT,Camden Property Trust,Real Estate,REIT - Residential,12014673920,United States,NYQ
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,101370716160,United States,NYQ
PTC,PTC Inc.,Technology,Software - Application,16817685504,United States,NMS
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1278814191616,United States,NMS
HSY,The Hershey Company,Consumer Defensive,Confectioners,32863823872,United States,NYQ
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,10767215616,United States,NMS
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,234438508544,United States,NYQ
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,55791067136,United States,NMS
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,39253647360,United States,NMS
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,17028598784,United States,NYQ
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,16494611456,United States,NYQ
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,116418002944,United States,NMS
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,31314460672,United States,NYQ
GLW,Corning Incorporated,Technology,Electronic Components,33474277376,United States,NYQ
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,13467077632,United States,NMS
HIG,"The Hartford Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty,32411402240,United States,NYQ
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,20510853120,United States,NYQ
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,17483628544,United States,NYQ
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,80262529024,United States,NYQ
ROP,"Roper Technologies, Inc.",Technology,Software - Application,58181193728,United States,NMS
AVGO,Broadcom Inc.,Technology,Semiconductors,687848226816,United States,NMS
MMM,3M Company,Industrials,Conglomerates,68444852224,United States,NYQ
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,27927693312,United States,NYQ
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,66613055488,United States,NYQ
IVZ,Invesco Ltd.,Financial Services,Asset Management,5736779264,United States,NYQ
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,16282421248,United States,NMS
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,22850750464,United States,NMS
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,12163743744,United States,NYQ
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,85773967360,United States,NMS
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,25878435840,United States,NYQ
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,20371492864,United States,NYQ
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,587966054400,United States,NYQ
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,19009116160,United States,NYQ
NSC,Norfolk Southern Corporation,Industrials,Railroads,47720165376,United States,NYQ
